Playlist,Curator,Followers,28-Day Change,28-Day Add,Genres,Personalized,Track Age,Playlist Updated,Playlist ID,Playlist Url,Spotify Playlist ID,Spotify Playlist URL,Curator ID,Curator URL,Spotify Curator ID,Spotify Curator URL
Daily Fuego,TerryDaine,32.38K,0,0%,"Hip-Hop/Rap, R&B/Soul, Singer/Songwriter",No,catalogue,"Oct 13, 2021",2403611,/playlist/spotify?id=2403611,0PdN5Pa57ZATTppFG3cY2d,https://open.spotify.com/user/31xhfsfc7uuuwpsdc2fpvfp3dmga/playlist/0PdN5Pa57ZATTppFG3cY2d,6156448,/curator/spotify?id=2403611,31xhfsfc7uuuwpsdc2fpvfp3dmga,https://open.spotify.com/user/31xhfsfc7uuuwpsdc2fpvfp3dmga
AMONG US SONGS,SongGator Studio,32.38K,3592,3%,"Hip-Hop/Rap, Pop, Electronic",No,catalogue,"Jan 15, 2023",7651069,/playlist/spotify?id=7651069,5CoGzo6ufRKDlpfgigvcyi,https://open.spotify.com/user/szueb78kajqysf6c6dh54gdqb/playlist/5CoGzo6ufRKDlpfgigvcyi,11066686,/curator/spotify?id=7651069,szueb78kajqysf6c6dh54gdqb,https://open.spotify.com/user/szueb78kajqysf6c6dh54gdqb
Unnamed Playlist,masterofnonesoundtrack,32.37K,-27,0%,"Pop, Hip-Hop/Rap, Alternative",No,catalogue,"Aug 07, 2021",1660346,/playlist/spotify?id=1660346,4aFTxOEHKeDs0Fqk8dIwNc,https://open.spotify.com/user/masterofnonesoundtrack/playlist/4aFTxOEHKeDs0Fqk8dIwNc,223857,/curator/spotify?id=1660346,masterofnonesoundtrack,https://open.spotify.com/user/masterofnonesoundtrack
Hits Brasil ∙ Top Nacionais ∙ As Melhores 2023,Topsify Brasil,32.37K,-52,99%,"Latin, Hip-Hop/Rap, Pop",No,frontline,"Jan 18, 2023",753824,/playlist/spotify?id=753824,4sOqZUOconQiyH55o3Kz7x,https://open.spotify.com/user/playlistmebrasil/playlist/4sOqZUOconQiyH55o3Kz7x,121876,/curator/spotify?id=753824,playlistmebrasil,https://open.spotify.com/user/playlistmebrasil
We dry scoop🥶,Whupzy,32.37K,-213,13%,"Hip-Hop/Rap, R&B/Soul, Pop",No,mixed,"Jan 20, 2023",2376144,/playlist/spotify?id=2376144,3WkeGzNxynSyyGdRqtMaJE,https://open.spotify.com/user/21tawywh6e2w4xrklhiqlbj5a/playlist/3WkeGzNxynSyyGdRqtMaJE,13839787,/curator/spotify?id=2376144,21tawywh6e2w4xrklhiqlbj5a,https://open.spotify.com/user/21tawywh6e2w4xrklhiqlbj5a
Fresh Kids,Hit Wave,32.36K,null,3%,"Hip-Hop/Rap, Pop, Latin",No,frontline,"Jan 13, 2023",15591355,/playlist/spotify?id=15591355,0tYhvVAp73OM08uXXINWkx,https://open.spotify.com/user/31ncfetx623muvegz7ttfn2ghny4/playlist/0tYhvVAp73OM08uXXINWkx,22906176,/curator/spotify?id=15591355,31ncfetx623muvegz7ttfn2ghny4,https://open.spotify.com/user/31ncfetx623muvegz7ttfn2ghny4
WEED✌️,1178858055,32.35K,-49,0%,"Hip-Hop/Rap, R&B/Soul, Pop",No,catalogue,"Jan 11, 2023",542370,/playlist/spotify?id=542370,1TiTfBrlyUC3A6Yl7cDjZb,https://open.spotify.com/user/1178858055/playlist/1TiTfBrlyUC3A6Yl7cDjZb,14250,/curator/spotify?id=542370,1178858055,https://open.spotify.com/user/1178858055
Indie pop,Future Catalog,32.35K,0,0%,"Dance, Electronic, Hip-Hop/Rap",No,mixed,"Sep 18, 2022",12643748,/playlist/spotify?id=12643748,4U8ngfAi06JrC13AnrDKol,https://open.spotify.com/user/91e6m4tdbq2f568w06d7mog0m/playlist/4U8ngfAi06JrC13AnrDKol,20666622,/curator/spotify?id=12643748,91e6m4tdbq2f568w06d7mog0m,https://open.spotify.com/user/91e6m4tdbq2f568w06d7mog0m
| Dawn |,MusicFrame,32.34K,0,0%,"R&B/Soul, Hip-Hop/Rap, Pop",No,catalogue,"Aug 07, 2021",6579243,/playlist/spotify?id=6579243,3Jr4zBn0i0MnN0yM86tq8Q,https://open.spotify.com/user/z3d19xhbnsnusottt7x122kkf/playlist/3Jr4zBn0i0MnN0yM86tq8Q,18078957,/curator/spotify?id=6579243,z3d19xhbnsnusottt7x122kkf,https://open.spotify.com/user/z3d19xhbnsnusottt7x122kkf
ROAD TRIP,Lamp,32.34K,-33,0%,"Pop, Hip-Hop/Rap, Electronic",No,catalogue,"Jan 11, 2023",365783,/playlist/spotify?id=365783,1xuLdgpXj8P1OLaea3fk8n,https://open.spotify.com/user/osamacare/playlist/1xuLdgpXj8P1OLaea3fk8n,119168,/curator/spotify?id=365783,osamacare,https://open.spotify.com/user/osamacare
